IGHV1-105*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-124*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-138*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-142*01	1	74	75	98	99	149	150	173	174	287	VH	0
IGHV1-170*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-58*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-60*01	1	75	76	99	100	150	151	174	175	287	VH	0
IGHV1-84*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV2-118*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV2-173*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV2-69*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV2-7*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV3-100*01	3	75	76	99	100	150	151	171	172	285	VH	0
IGHV3-103*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-107*01	1	75	76	102	103	153	154	177	178	291	VH	0
IGHV3-119*01	1	75	76	99	100	150	151	168	169	282	VH	0
IGHV3-120*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-122*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-127*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-128*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-141*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-143*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV3-152*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-172*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-175*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-177*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-180*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-185*01	3	75	76	99	100	150	151	171	172	285	VH	0
IGHV3-187*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-28*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-34*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-35*01	1	67	68	90	91	141	142	171	172	285	VH	0
IGHV3-36*01	1	75	76	99	100	150	151	177	178	291	VH	0
IGHV3-37*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-5*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-50*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-52*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-53*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-73*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-76*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-8*01	1	75	76	99	100	150	151	168	169	282	VH	0
IGHV3-83*01	1	75	76	99	100	150	151	177	178	291	VH	0
IGHV3-87*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-88*01	1	75	76	99	100	150	151	180	181	294	VH	0
