IGHV1-41*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-5*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-70*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-70*02	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-70*03	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-84*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV2-63*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV2-77*01	1	75	76	102	103	153	154	174	175	288	VH	0
IGHV3-58*01	27	33	34	57	58	108	109	132	133	246	VH	0
IGHV3-60*01	25	57	58	81	82	132	133	156	157	270	VH	0
IGHV3-62*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-69*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-69*02	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-78*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-9*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV4-10*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-11*01	1	75	76	101	102	150	151	171	172	285	VH	0
IGHV4-17*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-17*02	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-20*01	13	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-20*02	13	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-20D*01	13	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-20N*01	13	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-21*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV4-22*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV4-29*01	1	75	76	101	102	150	151	171	172	285	VH	0
IGHV4-29*02	1	75	76	101	102	150	151	171	172	285	VH	0
IGHV4-35*01	13	75	76	102	103	153	154	183	184	300	VH	0
IGHV4-35*02	13	75	76	102	103	153	154	183	184	300	VH	0
IGHV4-35D*01	13	75	76	102	103	153	154	183	184	300	VH	0
IGHV4-37*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-37*02	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-37D*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-37N*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-38*01	1	75	76	105	106	156	157	177	178	290	VH	0
IGHV4-38N*01	1	75	76	105	106	156	157	177	178	290	VH	0
IGHV4-42*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-42D*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-42N*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-52*01	1	75	76	105	106	156	157	177	178	288	VH	0
IGHV4-53*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-55*01	1	75	76	102	103	153	154	174	175	288	VH	0
IGHV4-57*01	1	75	76	103	104	153	154	174	175	288	VH	0
IGHV4-59*01	1	75	76	102	103	153	154	174	175	288	VH	0
IGHV4-65*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-65*02	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-68*01	1	75	76	102	103	153	154	174	175	288	VH	0
IGHV4-68*02	1	75	76	102	103	153	154	174	175	288	VH	0
IGHV4-72*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-75*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV4-82*01	1	75	76	101	102	150	151	171	172	285	VH	0
IGHV4S1*01	1	75	76	98	99	150	151	171	172	285	VH	0
IGHV5-67*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-34*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-34*02	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-34D*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV9-66*01	15	75	76	99	100	150	151	171	172	285	VH	0
